job_title,location,industry,skills,experience,salary_lpa,posted_date
cloud engineer,Chennai,HealthTech,"aws, azure, linux",1,3,2023-12-26
ml engineer,Bangalore,E-Commerce,"ml, python, tensorflow",4,14,2024-12-30
ai engineer,Delhi,IT,"ml, ai, python",8,16,2023-01-31
devops engineer,Delhi,E-Commerce,"kubernetes, linux, aws",1,19,2023-10-26
devops engineer,Pune,E-Commerce,"linux, aws, kubernetes",1,19,2024-02-19
cyber security analyst,Chennai,HealthTech,"networking, security, linux",4,7,2024-06-03
cyber security analyst,Pune,HealthTech,"security, linux, networking",5,16,2024-11-28
ai engineer,Chennai,EdTech,"ml, nlp, ai",3,6,2023-02-08
web developer,Mumbai,IT,"javascript, html, css",5,12,2023-12-20
business analyst,Chennai,IT,"communication, excel, sql",6,19,2023-07-03
cyber security analyst,Chennai,EdTech,"linux, networking, security",6,5,2023-06-30
business analyst,Hyderabad,FinTech,"excel, communication, sql",7,16,2024-06-23
devops engineer,Pune,E-Commerce,"aws, kubernetes, linux",5,22,2023-06-14
data scientist,Bangalore,IT,"python, ml, statistics",5,25,2023-06-13
devops engineer,Delhi,E-Commerce,"aws, docker, linux",1,12,2024-05-18
software engineer,Hyderabad,IT,"python, java, oops",2,14,2024-09-08
ai engineer,Bangalore,FinTech,"nlp, python, ml",2,13,2023-11-18
cloud engineer,Bangalore,IT,"linux, azure, docker",7,22,2024-05-30
devops engineer,Chennai,E-Commerce,"docker, kubernetes, linux",4,19,2024-09-27
web developer,Mumbai,FinTech,"css, react, javascript",0,4,2023-01-29
cyber security analyst,Delhi,FinTech,"networking, linux, security",2,16,2024-09-06
devops engineer,Pune,FinTech,"kubernetes, aws, docker",8,24,2024-05-27
data scientist,Delhi,HealthTech,"python, statistics, ml",0,13,2024-09-25
ai engineer,Hyderabad,HealthTech,"nlp, ai, ml",4,7,2023-11-22
web developer,Bangalore,E-Commerce,"javascript, css, react",8,22,2024-09-11
cyber security analyst,Hyderabad,EdTech,"linux, networking, security",4,12,2023-03-09
data analyst,Chennai,FinTech,"power bi, python, excel",4,23,2023-11-11
data analyst,Hyderabad,EdTech,"excel, sql, power bi",4,8,2023-03-12
data analyst,Pune,FinTech,"power bi, sql, python",4,14,2024-06-12
ml engineer,Hyderabad,EdTech,"ml, tensorflow, deep learning",1,6,2024-09-16
data scientist,Delhi,EdTech,"python, statistics, sql",7,13,2024-02-12
ml engineer,Mumbai,HealthTech,"deep learning, ml, python",7,10,2023-11-11
devops engineer,Delhi,E-Commerce,"kubernetes, docker, aws",6,4,2023-05-04
cyber security analyst,Pune,IT,"security, linux, networking",7,25,2024-07-14
data analyst,Pune,FinTech,"excel, power bi, sql",2,16,2023-10-24
business analyst,Bangalore,FinTech,"sql, excel, communication",8,9,2023-10-17
data analyst,Delhi,HealthTech,"power bi, python, excel",2,17,2023-03-16
data scientist,Pune,E-Commerce,"statistics, sql, python",7,18,2024-04-13
ml engineer,Chennai,HealthTech,"deep learning, tensorflow, python",5,24,2023-08-14
web developer,Hyderabad,IT,"react, html, css",3,14,2024-10-28
ai engineer,Bangalore,EdTech,"python, ai, ml",4,6,2023-11-12
ai engineer,Chennai,E-Commerce,"ai, python, nlp",0,23,2023-01-04
ml engineer,Hyderabad,EdTech,"ml, python, deep learning",3,25,2023-05-03
business analyst,Pune,IT,"communication, sql, excel",6,25,2023-12-02
cyber security analyst,Chennai,EdTech,"security, linux, networking",6,11,2024-06-16
cyber security analyst,Hyderabad,FinTech,"linux, networking, security",7,24,2023-02-12
web developer,Delhi,FinTech,"css, javascript, react",0,23,2024-06-26
business analyst,Delhi,FinTech,"sql, excel, communication",0,15,2023-10-12
data analyst,Delhi,FinTech,"power bi, python, sql",1,14,2024-09-21
ml engineer,Delhi,HealthTech,"python, tensorflow, ml",5,12,2023-01-06
cloud engineer,Mumbai,FinTech,"azure, linux, docker",4,24,2023-10-21
data scientist,Hyderabad,IT,"ml, statistics, python",2,20,2023-04-24
data scientist,Mumbai,EdTech,"sql, python, statistics",6,13,2024-05-05
data scientist,Pune,FinTech,"ml, sql, python",6,21,2023-04-12
ai engineer,Hyderabad,EdTech,"ai, nlp, python",0,18,2024-12-28
cyber security analyst,Hyderabad,HealthTech,"security, linux, networking",8,6,2023-10-21
cyber security analyst,Delhi,HealthTech,"security, linux, networking",7,5,2024-07-17
data analyst,Mumbai,FinTech,"sql, python, excel",2,19,2023-09-19
devops engineer,Hyderabad,HealthTech,"kubernetes, aws, docker",6,15,2024-07-14
ai engineer,Hyderabad,HealthTech,"python, nlp, ai",2,24,2024-12-16
data scientist,Pune,EdTech,"python, sql, statistics",2,19,2023-12-30
business analyst,Bangalore,FinTech,"excel, sql, communication",8,17,2023-08-13
business analyst,Chennai,E-Commerce,"sql, communication, excel",1,19,2024-08-18
cloud engineer,Hyderabad,E-Commerce,"linux, docker, aws",0,13,2023-09-10
software engineer,Hyderabad,E-Commerce,"oops, sql, python",0,9,2023-09-28
business analyst,Pune,IT,"excel, communication, sql",8,4,2023-01-26
data analyst,Chennai,EdTech,"excel, python, power bi",1,22,2023-05-14
business analyst,Delhi,HealthTech,"communication, excel, sql",6,16,2023-10-09
software engineer,Delhi,E-Commerce,"oops, python, java",8,8,2023-03-21
cyber security analyst,Bangalore,EdTech,"networking, security, linux",5,5,2024-03-04
business analyst,Mumbai,EdTech,"excel, sql, communication",1,17,2024-12-06
data scientist,Delhi,E-Commerce,"sql, python, statistics",3,21,2023-09-27
devops engineer,Mumbai,FinTech,"docker, linux, kubernetes",7,12,2023-08-25
data scientist,Bangalore,FinTech,"ml, statistics, sql",1,23,2023-10-29
data analyst,Hyderabad,FinTech,"excel, python, power bi",3,10,2023-11-08
ai engineer,Bangalore,HealthTech,"python, ml, ai",1,8,2024-08-27
data scientist,Chennai,EdTech,"ml, python, statistics",5,14,2023-11-30
software engineer,Pune,E-Commerce,"oops, sql, python",7,19,2023-10-17
software engineer,Pune,E-Commerce,"java, python, sql",8,3,2023-11-11
data analyst,Mumbai,HealthTech,"power bi, excel, sql",4,12,2023-10-25
ai engineer,Bangalore,EdTech,"ml, python, nlp",2,7,2024-01-29
cloud engineer,Mumbai,HealthTech,"azure, aws, docker",1,23,2023-01-26
ai engineer,Delhi,E-Commerce,"ml, python, ai",0,17,2023-07-01
data scientist,Hyderabad,EdTech,"python, sql, statistics",4,23,2024-04-19
ai engineer,Mumbai,EdTech,"python, ai, ml",8,4,2023-12-10
web developer,Bangalore,HealthTech,"html, react, css",0,20,2023-04-01
ml engineer,Chennai,FinTech,"deep learning, ml, python",1,12,2024-06-15
data analyst,Hyderabad,E-Commerce,"sql, power bi, excel",7,7,2023-10-02
ml engineer,Delhi,IT,"ml, tensorflow, python",1,24,2024-06-29
cloud engineer,Pune,EdTech,"linux, azure, aws",5,3,2024-01-26
web developer,Hyderabad,FinTech,"html, react, javascript",3,15,2023-11-19
devops engineer,Mumbai,HealthTech,"docker, linux, kubernetes",3,8,2023-09-01
devops engineer,Mumbai,E-Commerce,"linux, kubernetes, aws",0,4,2024-06-14
ai engineer,Chennai,E-Commerce,"ml, python, ai",3,14,2024-06-30
web developer,Mumbai,EdTech,"html, react, css",0,11,2024-09-15
cyber security analyst,Chennai,IT,"networking, linux, security",2,18,2023-01-08
ai engineer,Pune,EdTech,"ai, python, ml",7,11,2023-06-16
ml engineer,Delhi,HealthTech,"tensorflow, deep learning, ml",1,3,2023-12-21
software engineer,Chennai,FinTech,"python, java, oops",4,8,2024-02-11
data scientist,Pune,IT,"sql, ml, python",7,19,2023-03-25
cyber security analyst,Bangalore,EdTech,"networking, linux, security",3,17,2024-07-16
ml engineer,Delhi,IT,"ml, tensorflow, deep learning",2,15,2024-08-07
business analyst,Chennai,FinTech,"excel, sql, communication",1,17,2023-01-23
ml engineer,Hyderabad,HealthTech,"tensorflow, deep learning, ml",1,14,2023-01-31
devops engineer,Bangalore,FinTech,"linux, aws, kubernetes",5,23,2024-05-18
data analyst,Mumbai,EdTech,"excel, sql, python",5,21,2024-11-26
data analyst,Bangalore,IT,"python, power bi, sql",3,17,2024-01-30
web developer,Bangalore,EdTech,"react, html, javascript",5,16,2023-12-08
cloud engineer,Hyderabad,E-Commerce,"azure, linux, docker",6,23,2024-02-14
data analyst,Chennai,EdTech,"python, power bi, excel",0,18,2024-12-03
software engineer,Delhi,FinTech,"java, oops, sql",8,16,2023-02-23
devops engineer,Pune,FinTech,"aws, kubernetes, linux",7,20,2024-07-08
ml engineer,Chennai,E-Commerce,"deep learning, python, ml",2,5,2024-10-03
cloud engineer,Bangalore,E-Commerce,"linux, aws, docker",3,23,2024-05-28
business analyst,Hyderabad,EdTech,"excel, communication, sql",1,7,2024-07-17
ml engineer,Delhi,E-Commerce,"deep learning, tensorflow, python",8,7,2024-05-22
data scientist,Delhi,EdTech,"statistics, sql, ml",5,13,2023-02-23
ml engineer,Hyderabad,HealthTech,"ml, deep learning, python",1,7,2023-05-08
ml engineer,Delhi,FinTech,"deep learning, python, tensorflow",4,18,2023-03-07
cyber security analyst,Mumbai,EdTech,"linux, security, networking",7,18,2023-12-28
ml engineer,Bangalore,HealthTech,"tensorflow, ml, deep learning",8,5,2023-01-28
devops engineer,Pune,HealthTech,"docker, aws, linux",5,5,2024-07-22
devops engineer,Chennai,FinTech,"aws, linux, docker",5,8,2023-02-07
data scientist,Pune,IT,"sql, python, statistics",0,9,2023-12-09
software engineer,Delhi,E-Commerce,"java, python, sql",5,7,2024-05-29
software engineer,Delhi,IT,"java, oops, sql",8,20,2023-07-21
devops engineer,Hyderabad,FinTech,"linux, aws, docker",4,14,2024-08-23
cloud engineer,Hyderabad,E-Commerce,"docker, aws, linux",2,14,2024-05-27
ai engineer,Mumbai,EdTech,"ai, python, nlp",5,23,2023-01-29
data scientist,Delhi,IT,"ml, sql, python",6,8,2023-06-07
devops engineer,Mumbai,IT,"kubernetes, aws, docker",2,6,2023-04-01
data analyst,Chennai,EdTech,"excel, sql, power bi",5,17,2023-02-13
data analyst,Delhi,HealthTech,"excel, sql, python",4,22,2023-06-26
cyber security analyst,Mumbai,E-Commerce,"security, networking, linux",6,19,2024-01-12
ml engineer,Bangalore,FinTech,"deep learning, ml, python",0,19,2023-11-23
software engineer,Pune,HealthTech,"java, oops, python",2,19,2024-04-09
devops engineer,Pune,E-Commerce,"docker, kubernetes, aws",6,4,2023-06-03
devops engineer,Chennai,EdTech,"aws, linux, kubernetes",4,25,2023-07-12
cyber security analyst,Mumbai,EdTech,"linux, networking, security",8,4,2023-08-08
data analyst,Chennai,IT,"excel, power bi, python",0,8,2023-08-20
data analyst,Pune,HealthTech,"sql, excel, power bi",5,4,2024-08-31
ai engineer,Bangalore,HealthTech,"nlp, ml, ai",5,24,2024-04-08
data analyst,Delhi,EdTech,"excel, sql, power bi",7,13,2023-02-27
devops engineer,Delhi,E-Commerce,"linux, docker, aws",7,15,2023-04-10
ml engineer,Bangalore,E-Commerce,"ml, python, deep learning",3,9,2024-07-21
data analyst,Bangalore,HealthTech,"sql, python, excel",8,18,2023-06-28
data analyst,Pune,EdTech,"power bi, python, sql",1,7,2024-08-12
cyber security analyst,Bangalore,FinTech,"security, linux, networking",1,9,2024-10-06
software engineer,Delhi,HealthTech,"sql, oops, python",4,25,2023-09-29
cyber security analyst,Pune,HealthTech,"networking, security, linux",8,24,2023-06-08
cloud engineer,Hyderabad,E-Commerce,"azure, linux, aws",0,4,2024-01-03
software engineer,Hyderabad,HealthTech,"python, oops, java",5,19,2024-02-13
data scientist,Bangalore,EdTech,"python, sql, ml",6,13,2023-10-03
data analyst,Chennai,IT,"sql, python, power bi",8,5,2023-06-03
software engineer,Hyderabad,HealthTech,"oops, java, sql",7,10,2024-07-04
ml engineer,Delhi,IT,"ml, tensorflow, python",1,17,2023-07-03
cloud engineer,Pune,HealthTech,"docker, linux, aws",3,7,2023-02-12
ai engineer,Hyderabad,EdTech,"ai, nlp, ml",0,21,2023-09-01
cloud engineer,Pune,HealthTech,"aws, azure, linux",3,5,2023-06-22
cyber security analyst,Delhi,IT,"security, networking, linux",5,17,2023-07-17
data scientist,Chennai,IT,"python, sql, statistics",0,11,2024-10-03
cloud engineer,Delhi,FinTech,"linux, docker, azure",8,21,2023-08-14
software engineer,Bangalore,IT,"java, sql, oops",4,16,2024-09-01
business analyst,Delhi,EdTech,"excel, communication, sql",5,24,2024-04-16
ml engineer,Chennai,IT,"tensorflow, deep learning, ml",0,4,2023-03-24
web developer,Chennai,E-Commerce,"css, javascript, react",0,17,2024-10-25
ml engineer,Chennai,HealthTech,"deep learning, tensorflow, python",8,25,2023-07-25
software engineer,Chennai,HealthTech,"python, oops, java",3,13,2023-09-12
devops engineer,Pune,IT,"docker, kubernetes, aws",5,19,2024-01-01
